doi,language,method,method2,measurement,validation
10.1111/pops.12693,de,nlp,Rule-based,senti,validation attempt: discussion & demonstration
10.1111/psj.12110,en,lda,Unsupervised,theme,validation attempt: discussion
10.1111/psj.12119,en,man,Manual,const,validation attempt: discussion & demonstration
10.1111/psj.12119,en,man,Manual,theme,validation attempt: discussion & demonstration
10.1111/psj.12119,en,dct,Rule-based,const,validation attempt: discussion & demonstration
10.1111/psj.12119,en,dct,Rule-based,theme,validation attempt: discussion & demonstration
10.1111/psj.12134,dk,lnk,Rule-based,other,no validation attempt
10.1111/psj.12175,en,man,Manual,relas,no validation attempt
10.1111/psj.12175,en,nlp,Rule-based,relas,no validation attempt
10.1111/psj.12210,en,lnk,Rule-based,other,no validation attempt
10.1111/psj.12245,dk,sml,Supervised,theme,validation attempt: discussion
10.1111/psj.12255,en,man,Manual,thing,validation attempt: discussion
10.1111/psj.12255,en,man,Manual,const,validation attempt: discussion
10.1111/psj.12255,en,man,Manual,quali,validation attempt: discussion
10.1111/psj.12255,en,key,Rule-based,thing,validation attempt: discussion
10.1111/psj.12255,en,key,Rule-based,const,validation attempt: discussion
10.1111/psj.12255,en,key,Rule-based,quali,validation attempt: discussion
10.1111/psj.12255,en,sof,Rule-based,thing,validation attempt: discussion
10.1111/psj.12255,en,sof,Rule-based,const,validation attempt: discussion
10.1111/psj.12255,en,sof,Rule-based,quali,validation attempt: discussion
10.1111/psj.12257,en,plg,Unsupervised,quali,validation attempt: discussion & demonstration
10.1111/psj.12266,en,nlp,Rule-based,thing,no validation attempt
10.1111/psj.12266,en,nlp,Rule-based,attri,no validation attempt
10.1111/psj.12284,en,man,Manual,quali,validation attempt: discussion & demonstration
10.1111/psj.12284,en,plg,Unsupervised,quali,validation attempt: discussion & demonstration
10.1111/psj.12285,en,nlp,Rule-based,theme,validation attempt: discussion
10.1111/psj.12285,en,nlp,Rule-based,attri,validation attempt: discussion
10.1111/psj.12285,en,key,Rule-based,theme,validation attempt: discussion
10.1111/psj.12285,en,key,Rule-based,attri,validation attempt: discussion
10.1111/psj.12410,en,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1111/psj.12410,en,lda,Unsupervised,frame,validation attempt: discussion & demonstration
10.1111/rego.12199,en,nlp,Rule-based,thing,validation attempt: discussion & demonstration
10.1111/rego.12199,en,nlp,Rule-based,attri,validation attempt: discussion & demonstration
10.1111/rego.12282,es,lda,Unsupervised,types,validation attempt: discussion & demonstration
10.1111/rego.12312,en,sml,Supervised,attri,validation attempt: discussion & demonstration
10.1111/rego.12346,en,plg,Unsupervised,quali,validation attempt: discussion & demonstration
10.1111/rego.12346,en,plg,Unsupervised,relas,validation attempt: discussion & demonstration
10.1111/sltb.12569,en,man,Manual,quali,validation attempt: discussion & demonstration
10.1111/sltb.12569,en,sof,Rule-based,quali,validation attempt: discussion & demonstration
10.1111/sltb.12569,en,lda,Unsupervised,quali,validation attempt: discussion & demonstration
10.1111/sltb.12642,en,lnk,Rule-based,attri,validation attempt: discussion & demonstration
10.1111/sltb.12642,en,dct,Rule-based,attri,validation attempt: discussion & demonstration
10.1111/sltb.12642,en,sml,Supervised,attri,validation attempt: discussion & demonstration
10.1146/annurev-polisci-052615-025542,en,lda,Unsupervised,theme,validation attempt: discussion
10.1162/glep_a_00480,en,man,Manual,theme,validation attempt: discussion
10.1162/glep_a_00480,en,dct,Rule-based,theme,validation attempt: discussion
10.1162/glep_a_00480,en,dcs,Unsupervised,theme,validation attempt: discussion
10.1177/0010414018758765,vn,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1177/0010414018774354,th,man,Manual,forma,no validation attempt
10.1177/0010414018784059,en,man,Manual,thing,no validation attempt
10.1177/0010414018784059,en,man,Manual,attri,no validation attempt
10.1177/0010414018797942,en,dct,Rule-based,senti,validation attempt: discussion
10.1177/0010414019843567,pt,lda,Unsupervised,theme,no validation attempt
10.1177/0010414019858964,pt,lda,Unsupervised,thing,no validation attempt
10.1177/0010414019897686,en,dct,Rule-based,theme,no validation attempt
10.1177/0010414020912267,cn,lda,Unsupervised,theme,validation attempt: discussion
10.1177/0093650216644027,nl,man,Manual,frame,validation attempt: discussion
10.1177/0093650216644027,nl,lda,Unsupervised,frame,validation attempt: discussion
10.1177/0093650217719177,en,dct,Rule-based,thing,no validation attempt
10.1177/0093650217719177,en,dct,Rule-based,senti,no validation attempt
10.1177/0093650217719177,en,dct,Rule-based,quali,no validation attempt
10.1177/0093650217719177,en,dct,Rule-based,props,no validation attempt
10.1177/0093650217719177,en,sof,Rule-based,thing,no validation attempt
10.1177/0093650217719177,en,sof,Rule-based,senti,no validation attempt
10.1177/0093650217719177,en,sof,Rule-based,quali,no validation attempt
10.1177/0093650217719177,en,sof,Rule-based,props,no validation attempt
10.1177/0093650217725870,en,nlp,Rule-based,senti,no validation attempt
10.1177/0093650218777177,en,sof,Rule-based,thing,no validation attempt
10.1177/0093650218777177,en,sof,Rule-based,theme,no validation attempt
10.1177/0093650218777177,en,sof,Rule-based,attri,no validation attempt
10.1177/0093650219836059,nl,sof,Rule-based,senti,validation attempt: discussion & demonstration
10.1177/0267323116629879,nl,plg,Unsupervised,theme,no validation attempt
10.1177/0267323116680132,fr,key,Rule-based,thing,no validation attempt
10.1177/0267323116680132,fr,key,Rule-based,quali,no validation attempt
10.1177/0267323117695735,en,dct,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/0267323117695735,en,dct,Rule-based,frame,validation attempt: discussion & demonstration
10.1177/0267323117725971,de,dct,Rule-based,thing,validation attempt: discussion
10.1177/0267323117725971,de,dct,Rule-based,theme,validation attempt: discussion
10.1177/0267323118775297,en,man,Manual,thing,no validation attempt
10.1177/0267323118775297,en,man,Manual,const,no validation attempt
10.1177/0267323118775297,en,man,Manual,attri,no validation attempt
10.1177/0267323118775297,en,man,Manual,frame,no validation attempt
10.1177/0267323118775297,en,key,Rule-based,thing,no validation attempt
10.1177/0267323118775297,en,key,Rule-based,const,no validation attempt
10.1177/0267323118775297,en,key,Rule-based,attri,no validation attempt
10.1177/0267323118775297,en,key,Rule-based,frame,no validation attempt
10.1177/0267323119830050,en,nlp,Rule-based,const,no validation attempt
10.1177/0267323119830050,en,nlp,Rule-based,quali,no validation attempt
10.1177/0267323119830050,en,dct,Rule-based,const,no validation attempt
10.1177/0267323119830050,en,dct,Rule-based,quali,no validation attempt
10.1177/0267323119874253,sf,lda,Unsupervised,theme,validation attempt: discussion
10.1177/0267323119894484,de,key,Rule-based,forma,no validation attempt
10.1177/0267323119894484,de,key,Rule-based,pragm,no validation attempt
10.1177/0267323120922068,de,lda,Unsupervised,theme,no validation attempt
10.1177/0267323120940909,se,nlp,Rule-based,theme,no validation attempt
10.1177/0267323120940909,se,nlp,Rule-based,senti,no validation attempt
10.1177/0956797619894557,en,dct,Rule-based,quali,no validation attempt
10.1177/0956797620902380,en,lnk,Rule-based,thing,no validation attempt
10.1177/0956797620902380,en,lda,Unsupervised,thing,no validation attempt
10.1177/1461444814567987,en,lda,Unsupervised,theme,no validation attempt
10.1177/1461444816643504,fr,lda,Unsupervised,thing,no validation attempt
10.1177/1461444816643504,fr,lda,Unsupervised,quali,no validation attempt
10.1177/1461444816661552,en,sof,Rule-based,const,validation attempt: discussion & demonstration
10.1177/1461444816668187,it,sna,Unsupervised,quali,validation attempt: discussion
10.1177/1461444816668187,it,sna,Unsupervised,pragm,validation attempt: discussion
10.1177/1461444817712086,en,dct,Rule-based,theme,no validation attempt
10.1177/1461444817712086,en,sof,Rule-based,theme,no validation attempt
10.1177/1461444817712723,en,nlp,Rule-based,forma,no validation attempt
10.1177/1461444817712723,en,nlp,Rule-based,theme,no validation attempt
10.1177/1461444817712723,en,nlp,Rule-based,frame,no validation attempt
10.1177/1461444817744790,en,sna,Unsupervised,frame,no validation attempt
10.1177/1461444818757205,en,sml,Supervised,const,validation attempt: discussion & demonstration
10.1177/1461444818757205,en,sml,Supervised,quali,validation attempt: discussion & demonstration
10.1177/1461444818788323,en,man,Manual,theme,validation attempt: discussion
10.1177/1461444818788323,en,lnk,Rule-based,theme,validation attempt: discussion
10.1177/1461444818788323,en,sna,Unsupervised,theme,validation attempt: discussion
10.1177/1461444818807133,en,nlp,Rule-based,quali,no validation attempt
10.1177/1461444818807133,en,dct,Rule-based,quali,no validation attempt
10.1177/1461444818821376,ar,man,Manual,quali,validation attempt: discussion
10.1177/1461444818821376,ar,man,Manual,attri,validation attempt: discussion
10.1177/1461444818821376,ar,nlp,Rule-based,quali,validation attempt: discussion
10.1177/1461444818821376,ar,nlp,Rule-based,attri,validation attempt: discussion
10.1177/1461444819827030,en,lnk,Rule-based,theme,no validation attempt
10.1177/1461444819827030,en,lnk,Rule-based,other,no validation attempt
10.1177/1461444819893984,en,man,Manual,forma,validation attempt: discussion
10.1177/1461444819893984,en,man,Manual,const,validation attempt: discussion
10.1177/1461444819893984,en,man,Manual,senti,validation attempt: discussion
10.1177/1461444819893984,en,man,Manual,pragm,validation attempt: discussion
10.1177/1461444819893984,en,sof,Rule-based,forma,validation attempt: discussion
10.1177/1461444819893984,en,sof,Rule-based,const,validation attempt: discussion
10.1177/1461444819893984,en,sof,Rule-based,senti,validation attempt: discussion
10.1177/1461444819893984,en,sof,Rule-based,pragm,validation attempt: discussion
10.1177/1461444820903319,en,man,Manual,theme,validation attempt: discussion
10.1177/1461444820903319,en,man,Manual,attri,validation attempt: discussion
10.1177/1461444820903319,en,lnk,Rule-based,theme,validation attempt: discussion
10.1177/1461444820903319,en,lnk,Rule-based,attri,validation attempt: discussion
10.1177/1461444820912534,en,man,Manual,frame,validation attempt: discussion
10.1177/1461444820912534,en,man,Manual,other,validation attempt: discussion
10.1177/1461444820912534,en,lnk,Rule-based,frame,validation attempt: discussion
10.1177/1461444820912534,en,lnk,Rule-based,other,validation attempt: discussion
10.1177/1464884915595475,de,dct,Rule-based,theme,validation attempt: discussion & demonstration
10.1177/1464884916636142,ar,nlp,Rule-based,thing,no validation attempt
10.1177/1464884916636142,ar,nlp,Rule-based,theme,no validation attempt
10.1177/1464884916636168,cn,lnk,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/1464884916636168,cn,lnk,Rule-based,types,validation attempt: discussion & demonstration
10.1177/1464884916636168,cn,lnk,Rule-based,theme,validation attempt: discussion & demonstration
10.1177/1464884916636168,cn,lnk,Rule-based,senti,validation attempt: discussion & demonstration
10.1177/1464884916648097,gr,nlp,Rule-based,frame,no validation attempt
10.1177/1464884916673387,en,man,Manual,types,no validation attempt
10.1177/1464884916673387,en,man,Manual,quali,no validation attempt
10.1177/1464884916673387,en,nlp,Rule-based,types,no validation attempt
10.1177/1464884916673387,en,nlp,Rule-based,quali,no validation attempt
10.1177/1464884916673387,en,sof,Rule-based,types,no validation attempt
10.1177/1464884916673387,en,sof,Rule-based,quali,no validation attempt
10.1177/1464884916680371,nl,nlp,Rule-based,thing,no validation attempt
10.1177/1464884916680371,nl,dct,Rule-based,thing,no validation attempt
10.1177/1464884917699034,en,nlp,Rule-based,thing,no validation attempt
10.1177/1464884917699034,en,key,Rule-based,thing,no validation attempt
10.1177/1464884917716699,nl,nlp,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,nlp,Rule-based,const,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,nlp,Rule-based,types,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,nlp,Rule-based,theme,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,nlp,Rule-based,senti,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,nlp,Rule-based,relas,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,dct,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,dct,Rule-based,const,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,dct,Rule-based,types,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,dct,Rule-based,theme,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,dct,Rule-based,senti,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,dct,Rule-based,relas,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,sof,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,sof,Rule-based,const,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,sof,Rule-based,types,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,sof,Rule-based,theme,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,sof,Rule-based,senti,validation attempt: discussion & demonstration
10.1177/1464884917716699,nl,sof,Rule-based,relas,validation attempt: discussion & demonstration
10.1177/1464884917737212,en,key,Rule-based,theme,no validation attempt
10.1177/1940161216673195,en,man,Manual,senti,no validation attempt
10.1177/1940161216673195,en,man,Manual,attri,no validation attempt
10.1177/1940161216673195,en,key,Rule-based,senti,no validation attempt
10.1177/1940161216673195,en,key,Rule-based,attri,no validation attempt
10.1177/1940161216673196,en,lda,Unsupervised,forma,no validation attempt
10.1177/1940161216673196,en,lda,Unsupervised,quali,no validation attempt
10.1177/1940161216673196,en,lda,Unsupervised,frame,no validation attempt
10.1177/1940161217740696,nl,dct,Rule-based,thing,validation attempt: discussion
10.1177/1940161217740696,nl,dct,Rule-based,attri,validation attempt: discussion
10.1177/1940161218771893,en,sml,Supervised,frame,validation attempt: discussion & demonstration
10.1177/1940161218771897,en,nlp,Rule-based,quali,validation attempt: discussion
10.1177/1940161218809160,dk,man,Manual,thing,validation attempt: discussion
10.1177/1940161218809160,dk,man,Manual,theme,validation attempt: discussion
10.1177/1940161218809160,dk,man,Manual,frame,validation attempt: discussion
10.1177/1940161218809160,dk,dct,Rule-based,thing,validation attempt: discussion
10.1177/1940161218809160,dk,dct,Rule-based,theme,validation attempt: discussion
10.1177/1940161218809160,dk,dct,Rule-based,frame,validation attempt: discussion
10.1177/1940161218821509,en,key,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/1940161218821509,en,sof,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/1940161219832416,en,nlp,Rule-based,const,validation attempt: discussion & demonstration
10.1177/1940161219832416,en,nlp,Rule-based,attri,validation attempt: discussion & demonstration
10.1177/1940161219832416,en,key,Rule-based,const,validation attempt: discussion & demonstration
10.1177/1940161219832416,en,key,Rule-based,attri,validation attempt: discussion & demonstration
10.1177/1940161219895215,en,man,Manual,forma,validation attempt: discussion
10.1177/1940161219895215,en,man,Manual,attri,validation attempt: discussion
10.1177/1940161219895215,en,plg,Unsupervised,forma,validation attempt: discussion
10.1177/1940161219895215,en,plg,Unsupervised,attri,validation attempt: discussion
10.1177/1940161220935058,jp,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1177/1940161220935058,jp,lda,Unsupervised,quali,validation attempt: discussion & demonstration
10.1177/1940161220935058,jp,lda,Unsupervised,attri,validation attempt: discussion & demonstration
10.1177/1940161220935058,jp,dcs,Unsupervised,theme,validation attempt: discussion & demonstration
10.1177/1940161220935058,jp,dcs,Unsupervised,quali,validation attempt: discussion & demonstration
10.1177/1940161220935058,jp,dcs,Unsupervised,attri,validation attempt: discussion & demonstration
10.1177/2050157920934509,en,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1177/2056305117691545,en,man,Manual,theme,no validation attempt
10.1177/2056305117691545,en,lnk,Rule-based,theme,no validation attempt
10.1177/2056305117733224,en,lnk,Rule-based,frame,no validation attempt
10.1177/2056305118768299,en,key,Rule-based,forma,no validation attempt
10.1177/2056305118768299,en,key,Rule-based,props,no validation attempt
10.1177/2056305118776010,en,nlp,Rule-based,const,no validation attempt
10.1177/2056305118776010,en,nlp,Rule-based,pragm,no validation attempt
10.1177/2056305118776010,en,key,Rule-based,const,no validation attempt
10.1177/2056305118776010,en,key,Rule-based,pragm,no validation attempt
10.1177/2056305118784774,en,sml,Supervised,pragm,validation attempt: discussion & demonstration
10.1177/2056305118785638,en,sof,Rule-based,thing,no validation attempt
10.1177/2056305118785638,en,sof,Rule-based,const,no validation attempt
10.1177/2056305118785638,en,sof,Rule-based,senti,no validation attempt
10.1177/2056305118785638,en,lda,Unsupervised,thing,no validation attempt
10.1177/2056305118785638,en,lda,Unsupervised,const,no validation attempt
10.1177/2056305118785638,en,lda,Unsupervised,senti,no validation attempt
10.1177/2056305118786720,de,man,Manual,theme,validation attempt: discussion
10.1177/2056305118786720,de,man,Manual,other,validation attempt: discussion
10.1177/2056305118786720,de,lnk,Rule-based,theme,validation attempt: discussion
10.1177/2056305118786720,de,lnk,Rule-based,other,validation attempt: discussion
10.1177/2056305118786720,de,lda,Unsupervised,theme,validation attempt: discussion
10.1177/2056305118786720,de,lda,Unsupervised,other,validation attempt: discussion
10.1177/2056305118789630,en,nlp,Rule-based,attri,no validation attempt
10.1177/2056305118789630,en,nlp,Rule-based,pragm,no validation attempt
10.1177/2056305118789630,en,key,Rule-based,attri,no validation attempt
10.1177/2056305118789630,en,key,Rule-based,pragm,no validation attempt
10.1177/2056305118790763,en,sna,Unsupervised,theme,no validation attempt
10.1177/2056305119832588,en,key,Rule-based,const,no validation attempt
10.1177/2056305119832588,en,sof,Rule-based,const,no validation attempt
10.1177/2056305119841387,en,key,Rule-based,forma,no validation attempt
10.1177/2056305119841387,en,key,Rule-based,const,no validation attempt
10.1177/2056305119841387,en,key,Rule-based,theme,no validation attempt
10.1177/2056305119841387,en,key,Rule-based,pragm,no validation attempt
10.1177/2056305119841387,en,lda,Unsupervised,forma,no validation attempt
10.1177/2056305119841387,en,lda,Unsupervised,const,no validation attempt
10.1177/2056305119841387,en,lda,Unsupervised,theme,no validation attempt
10.1177/2056305119841387,en,lda,Unsupervised,pragm,no validation attempt
10.1177/2056305119861807,en,nlp,Rule-based,theme,validation attempt: discussion
10.1177/2056305119861807,en,key,Rule-based,theme,validation attempt: discussion
10.1177/2056305119866008,en,sna,Unsupervised,theme,validation attempt: discussion
10.1177/2056305119866008,en,lda,Unsupervised,theme,validation attempt: discussion
10.1177/2056305119881695,en,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1177/2056305119881695,en,lda,Unsupervised,pragm,validation attempt: discussion & demonstration
10.1177/2056305119883427,en,man,Manual,theme,validation attempt: discussion
10.1177/2056305119883427,en,lda,Unsupervised,theme,validation attempt: discussion
10.1177/2056305119897320,en,nlp,Rule-based,thing,no validation attempt
10.1177/2056305120912475,en,man,Manual,thing,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,man,Manual,senti,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,man,Manual,quali,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,lda,Unsupervised,thing,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,lda,Unsupervised,senti,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,lda,Unsupervised,quali,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,sml,Supervised,thing,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,sml,Supervised,senti,validation attempt: discussion & demonstration
10.1177/2056305120912475,en,sml,Supervised,quali,validation attempt: discussion & demonstration
10.1177/2056305120913990,en,sof,Rule-based,const,no validation attempt
10.1177/2056305120916841,en,nlp,Rule-based,thing,no validation attempt
10.1177/2056305120916841,en,nlp,Rule-based,const,no validation attempt
10.1177/2056305120916841,en,nlp,Rule-based,senti,no validation attempt
10.1177/2056305120916841,en,key,Rule-based,thing,no validation attempt
10.1177/2056305120916841,en,key,Rule-based,const,no validation attempt
10.1177/2056305120916841,en,key,Rule-based,senti,no validation attempt
10.1177/2056305120916850,en,sml,Supervised,attri,validation attempt: discussion & demonstration
10.3758/s13428-015-0639-3,es,sof,Rule-based,senti,no validation attempt
10.3758/s13428-015-0649-1,cn,sof,Rule-based,forma,validation attempt: discussion
10.3758/s13428-015-0651-7,en,nlp,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-015-0651-7,en,sof,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-015-0700-2,es,man,Manual,senti,NA
10.3758/s13428-016-0743-z,en,sof,Rule-based,senti,validation attempt: discussion & demonstration
10.3758/s13428-016-0749-6,en,sof,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-016-0753-x,jp,sml,Supervised,forma,validation attempt: discussion & demonstration
10.3758/s13428-016-0753-x,jp,sml,Supervised,quali,validation attempt: discussion & demonstration
10.3758/s13428-017-0875-9,en,dct,Rule-based,senti,validation attempt: discussion & demonstration
10.3758/s13428-017-0924-4,en,nlp,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-017-0924-4,en,sof,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-017-0926-2,en,nlp,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-017-0931-5,en,nlp,Rule-based,theme,validation attempt: discussion & demonstration
10.3758/s13428-017-0931-5,en,sna,Unsupervised,theme,validation attempt: discussion & demonstration
10.3758/s13428-017-0962-y,es,man,Manual,quali,NA
10.3758/s13428-017-0975-6,en,sof,Rule-based,senti,validation attempt: discussion & demonstration
10.3758/s13428-017-0993-4,cn,nlp,Rule-based,other,no validation attempt
10.3758/s13428-017-0993-4,cn,sof,Rule-based,other,no validation attempt
10.3758/s13428-017-0994-3,ru,nlp,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-017-0994-3,ru,sof,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-017-0999-y,no,sof,Rule-based,senti,no validation attempt
10.3758/s13428-018-1142-4,en,nlp,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-018-1142-4,en,sof,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-018-1177-6,en,lnk,Rule-based,senti,validation attempt: discussion & demonstration
10.3758/s13428-019-01202-8,en,lda,Unsupervised,theme,validation attempt: discussion
10.3758/s13428-019-01223-3,en,sof,Rule-based,other,validation attempt: discussion & demonstration
10.3758/s13428-020-01433-0,en,dct,Rule-based,quali,validation attempt: discussion & demonstration
10.3758/s13428-020-01450-z,fr,dct,Rule-based,quali,validation attempt: discussion & demonstration
10.3758/s13428-020-01453-w,en,sof,Rule-based,relas,validation attempt: discussion & demonstration
10.1002/poi3.128,en,man,Manual,theme,NA
10.1002/poi3.155,cn,man,Manual,theme,NA
10.1002/poi3.167,is,man,Manual,theme,NA
10.1002/poi3.175,en,man,Manual,quali,NA
10.1002/poi3.175,en,man,Manual,pragm,NA
10.1002/poi3.191,cn,man,Manual,thing,NA
10.1002/poi3.191,cn,man,Manual,senti,NA
10.1002/poi3.191,cn,man,Manual,attri,NA
10.1002/poi3.196,pt,man,Manual,pragm,NA
10.1002/poi3.224,en,man,Manual,theme,NA
10.1002/poi3.232,de,man,Manual,const,NA
10.1002/poi3.232,de,man,Manual,quali,NA
10.1002/poi3.232,de,man,Manual,pragm,NA
10.1007/s11109-016-9346-8,en,man,Manual,senti,NA
10.1007/s11109-020-09642-1,en,man,Manual,quali,NA
10.1007/s11558-020-09404-y,en,man,Manual,attri,NA
10.1016/j.chb.2015.07.050,en,man,Manual,attri,NA
10.1016/j.chb.2015.08.023,en,man,Manual,attri,NA
10.1016/j.chb.2017.03.024,en,man,Manual,quali,NA
10.1016/j.chb.2017.04.007,en,man,Manual,quali,NA
10.1016/j.chb.2019.03.024,en,man,Manual,attri,NA
10.1016/j.chb.2019.03.030,en,man,Manual,attri,NA
10.1016/j.chb.2019.106183,en,man,Manual,attri,NA
10.1017/S0007123415000022,dk,man,Manual,thing,NA
10.1017/S0007123415000022,dk,man,Manual,theme,NA
10.1017/S0007123416000636,en,man,Manual,theme,NA
10.1017/S0020818316000138,en,man,Manual,frame,NA
10.1017/S0020818316000138,en,man,Manual,relas,NA
10.1080/00913367.2015.1083918,en,man,Manual,forma,NA
10.1080/00913367.2015.1083918,en,man,Manual,const,NA
10.1080/00913367.2015.1083918,en,man,Manual,theme,NA
10.1080/00913367.2015.1083918,en,man,Manual,quali,NA
10.1080/00913367.2015.1083918,en,man,Manual,pragm,NA
10.1080/00913367.2016.1172387,en,man,Manual,thing,NA
10.1080/00913367.2016.1274924,en,man,Manual,const,NA
10.1080/00913367.2016.1274924,en,man,Manual,quali,NA
10.1080/01972243.2017.1354111,he,man,Manual,frame,NA
10.1080/01972243.2018.1444253,it,man,Manual,theme,NA
10.1080/01972243.2018.1542646,en,man,Manual,quali,NA
10.1080/02650487.2016.1167812,en,man,Manual,forma,NA
10.1080/02650487.2016.1167812,en,man,Manual,thing,NA
10.1080/02650487.2016.1167812,en,man,Manual,types,NA
10.1080/02650487.2016.1167812,en,man,Manual,theme,NA
10.1080/02650487.2016.1167812,en,man,Manual,quali,NA
10.1080/02650487.2016.1189250,gr,man,Manual,const,NA
10.1080/02650487.2016.1247489,en,man,Manual,theme,NA
10.1080/02650487.2016.1247489,en,man,Manual,props,NA
10.1080/02650487.2016.1247489,en,man,Manual,pragm,NA
10.1080/02650487.2017.1348329,en,man,Manual,const,NA
10.1080/02650487.2017.1348329,en,man,Manual,props,NA
10.1080/02650487.2017.1410000,de,man,Manual,forma,NA
10.1080/02650487.2017.1410000,de,man,Manual,const,NA
10.1080/02650487.2017.1410000,de,man,Manual,attri,NA
10.1080/02650487.2018.1485214,nl,man,Manual,forma,NA
10.1080/02650487.2018.1485214,nl,man,Manual,const,NA
10.1080/02650487.2018.1485214,nl,man,Manual,quali,NA
10.1080/02650487.2018.1485214,nl,man,Manual,pragm,NA
10.1080/02650487.2020.1717856,en,man,Manual,theme,NA
10.1080/03637751.2015.1030683,en,man,Manual,const,NA
10.1080/03637751.2015.1030683,en,man,Manual,attri,NA
10.1080/03637751.2017.1359748,en,man,Manual,theme,NA
10.1080/03637751.2018.1501503,en,man,Manual,pragm,NA
10.1080/03637751.2019.1621361,en,man,Manual,const,NA
10.1080/03637751.2019.1621361,en,man,Manual,attri,NA
10.1080/09644016.2015.1090369,en,man,Manual,theme,NA
10.1080/09644016.2016.1156106,en,man,Manual,theme,NA
10.1080/09644016.2017.1287624,en,man,Manual,quali,NA
10.1080/09644016.2017.1287624,en,man,Manual,frame,NA
10.1080/09644016.2017.1319017,en,man,Manual,frame,NA
10.1080/09644016.2017.1324754,en,man,Manual,attri,NA
10.1080/09644016.2018.1439353,en,man,Manual,frame,NA
10.1080/09644016.2018.1494967,en,man,Manual,const,NA
10.1080/09644016.2018.1507290,en,man,Manual,frame,NA
10.1080/09644016.2018.1525805,en,man,Manual,thing,NA
10.1080/09644016.2018.1525805,en,man,Manual,frame,NA
10.1080/09644016.2020.1740555,en,man,Manual,theme,NA
10.1080/09644016.2020.1740555,en,man,Manual,frame,NA
10.1080/09644016.2020.1742551,un,man,Manual,theme,NA
10.1080/09644016.2020.1742551,un,man,Manual,frame,NA
10.1080/09644016.2020.1743610,en,man,Manual,attri,NA
10.1080/09644016.2020.1743610,en,man,Manual,frame,NA
10.1080/09644016.2020.1787056,nl,man,Manual,frame,NA
10.1080/09644016.2020.1787056,nl,man,Manual,relas,NA
10.1080/10584609.2014.958261,en,man,Manual,thing,NA
10.1080/10584609.2014.958261,en,man,Manual,types,NA
10.1080/10584609.2014.958261,en,man,Manual,theme,NA
10.1080/10584609.2015.1016639,nl,man,Manual,theme,NA
10.1080/10584609.2015.1055526,en,man,Manual,thing,NA
10.1080/10584609.2015.1055526,en,man,Manual,const,NA
10.1080/10584609.2015.1055526,en,man,Manual,senti,NA
10.1080/10584609.2015.1055526,en,man,Manual,props,NA
10.1080/10584609.2015.1055526,en,man,Manual,pragm,NA
10.1080/10584609.2015.1107158,en,man,Manual,forma,NA
10.1080/10584609.2015.1107158,en,man,Manual,senti,NA
10.1080/10584609.2015.1107158,en,man,Manual,props,NA
10.1080/10584609.2016.1142489,en,man,Manual,props,NA
10.1080/10584609.2016.1271068,de,man,Manual,thing,NA
