_id,doi,language,method,method2,measurement,validation
1,10.1002/jae.2550,en,key,Rule-based,theme,no validation attempt
2,10.1080/1369118X.2015.1092565,en,sna,Unsupervised,theme,discussion
3,10.1080/1369118X.2015.1092565,en,sna,Unsupervised,frame,discussion
4,10.1080/1369118X.2015.1092565,en,sna,Unsupervised,other,discussion
5,10.1080/1369118X.2015.1093526,nl,man,Manual,theme,no validation attempt
6,10.1080/1369118X.2015.1093526,nl,nlp,Rule-based,theme,no validation attempt
7,10.1080/1369118X.2016.1139615,en,lda,Unsupervised,theme,discussion
8,10.1080/1369118X.2016.1167228,en,sml,Supervised,theme,discussion & demonstration
9,10.1080/1369118X.2016.1168469,pt,man,Manual,quali,discussion
10,10.1080/1369118X.2016.1168469,pt,man,Manual,frame,discussion
11,10.1080/1369118X.2016.1168469,pt,man,Manual,other,discussion
12,10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,quali,discussion
13,10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,frame,discussion
14,10.1080/1369118X.2016.1168469,pt,sna,Unsupervised,other,discussion
15,10.1080/1369118X.2016.1182197,en,sml,Supervised,theme,discussion
16,10.1080/1369118X.2016.1182197,en,sml,Supervised,senti,discussion
17,10.1080/1369118X.2016.1182197,en,sml,Supervised,quali,discussion
18,10.1080/1369118X.2016.1186717,en,sof,Rule-based,forma,no validation attempt
19,10.1080/1369118X.2016.1186717,en,sof,Rule-based,const,no validation attempt
20,10.1080/1369118X.2016.1186717,en,sof,Rule-based,quali,no validation attempt
21,10.1080/1369118X.2016.1253762,en,nlp,Rule-based,theme,no validation attempt
22,10.1080/1369118X.2016.1266374,en,sml,Supervised,const,discussion & demonstration
23,10.1080/1369118X.2017.1301515,no,lnk,Rule-based,forma,no validation attempt
24,10.1080/1369118X.2017.1346136,en,lnk,Rule-based,other,no validation attempt
25,10.1080/1369118X.2017.1386705,en,man,Manual,frame,discussion
26,10.1080/1369118X.2017.1386705,en,dct,Rule-based,frame,discussion
27,10.1080/1369118X.2017.1388427,en,man,Manual,theme,discussion
28,10.1080/1369118X.2017.1388427,en,man,Manual,senti,discussion
29,10.1080/1369118X.2017.1388427,en,lnk,Rule-based,theme,discussion
30,10.1080/1369118X.2017.1388427,en,lnk,Rule-based,senti,discussion
31,10.1080/1369118X.2017.1388427,en,nlp,Rule-based,theme,discussion
32,10.1080/1369118X.2017.1388427,en,nlp,Rule-based,senti,discussion
33,10.1080/1369118X.2018.1433224,en,lnk,Rule-based,quali,discussion & demonstration
34,10.1080/1369118X.2018.1433224,en,lnk,Rule-based,pragm,discussion & demonstration
35,10.1080/1369118X.2018.1433224,en,sml,Supervised,quali,discussion & demonstration
36,10.1080/1369118X.2018.1433224,en,sml,Supervised,pragm,discussion & demonstration
37,10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,senti,no validation attempt
38,10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,quali,no validation attempt
39,10.1080/1369118X.2018.1444076,nl,nlp,Rule-based,attri,no validation attempt
40,10.1080/1369118X.2018.1444076,nl,key,Rule-based,senti,no validation attempt
41,10.1080/1369118X.2018.1444076,nl,key,Rule-based,quali,no validation attempt
42,10.1080/1369118X.2018.1444076,nl,key,Rule-based,attri,no validation attempt
43,10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,senti,no validation attempt
44,10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,quali,no validation attempt
45,10.1080/1369118X.2018.1444076,nl,lda,Unsupervised,attri,no validation attempt
46,10.1080/1369118X.2018.1468919,he,man,Manual,types,no validation attempt
47,10.1080/1369118X.2018.1468919,he,man,Manual,theme,no validation attempt
48,10.1080/1369118X.2018.1468919,he,lda,Unsupervised,types,no validation attempt
49,10.1080/1369118X.2018.1468919,he,lda,Unsupervised,theme,no validation attempt
50,10.1080/1369118X.2018.1476576,cn,bot,Other,other,no validation attempt
51,10.1080/1369118X.2018.1499793,en,sml,Supervised,senti,discussion & demonstration
52,10.1080/1369118X.2018.1500622,en,dct,Rule-based,const,discussion & demonstration
53,10.1080/1369118X.2018.1555271,it,lnk,Rule-based,attri,no validation attempt
54,10.1080/1369118X.2018.1555271,it,lnk,Rule-based,pragm,no validation attempt
55,10.1080/1369118X.2019.1566484,en,man,Manual,senti,no validation attempt
56,10.1080/1369118X.2019.1566484,en,man,Manual,attri,no validation attempt
57,10.1080/1369118X.2019.1566484,en,sof,Rule-based,senti,no validation attempt
58,10.1080/1369118X.2019.1566484,en,sof,Rule-based,attri,no validation attempt
59,10.1080/1369118X.2019.1566484,en,sml,Supervised,senti,no validation attempt
60,10.1080/1369118X.2019.1566484,en,sml,Supervised,attri,no validation attempt
61,10.1080/1369118X.2020.1716039,en,plg,Unsupervised,quali,discussion
62,10.1080/1369118X.2020.1720770,nl,man,Manual,thing,discussion
63,10.1080/1369118X.2020.1720770,nl,man,Manual,theme,discussion
64,10.1080/1369118X.2020.1720770,nl,lnk,Rule-based,thing,discussion
65,10.1080/1369118X.2020.1720770,nl,lnk,Rule-based,theme,discussion
66,10.1080/1369118X.2020.1776372,cn,man,Manual,senti,discussion
67,10.1080/1369118X.2020.1776372,cn,man,Manual,attri,discussion
68,10.1080/1369118X.2020.1776372,cn,man,Manual,frame,discussion
69,10.1080/1369118X.2020.1776372,cn,sof,Rule-based,senti,discussion
70,10.1080/1369118X.2020.1776372,cn,sof,Rule-based,attri,discussion
71,10.1080/1369118X.2020.1776372,cn,sof,Rule-based,frame,discussion
72,10.1080/1369118X.2020.1776372,cn,lda,Unsupervised,senti,discussion
73,10.1080/1369118X.2020.1776372,cn,lda,Unsupervised,attri,discussion
74,10.1080/1369118X.2020.1776372,cn,lda,Unsupervised,frame,discussion
75,10.1080/1369118X.2020.1792532,en,dct,Rule-based,theme,discussion & demonstration
76,10.1080/15022250.2019.1651671,en,lda,Unsupervised,theme,discussion
77,10.1111/1468-4446.12624,en,sof,Rule-based,const,no validation attempt
78,10.1111/risa.13425,en,sml,Supervised,quali,discussion & demonstration
79,10.1111/risa.13533,it,key,Rule-based,theme,discussion
80,10.1111/risa.13582,en,lnk,Rule-based,const,discussion & demonstration
81,10.1111/risa.13582,en,key,Rule-based,const,discussion & demonstration
82,10.1111/risa.13582,en,dct,Rule-based,const,discussion & demonstration
83,10.1111/rssa.12421,en,sml,Supervised,const,discussion & demonstration
84,10.1140/epjds/s13688-016-0066-4,en,key,Rule-based,theme,no validation attempt
85,10.1140/epjds/s13688-016-0072-6,en,sml,Supervised,const,discussion & demonstration
86,10.1140/epjds/s13688-016-0085-1,en,dct,Rule-based,senti,discussion & demonstration
87,10.1140/epjds/s13688-017-0111-y,en,lnk,Rule-based,theme,discussion
88,10.1140/epjds/s13688-017-0121-9,en,dct,Rule-based,senti,discussion & demonstration
89,10.1140/epjds/s13688-019-0190-z,en,sml,Supervised,const,discussion
90,10.1140/epjds/s13688-019-0193-9,en,dct,Rule-based,const,discussion & demonstration
91,10.1140/epjds/s13688-019-0193-9,en,sof,Rule-based,const,discussion & demonstration
92,10.1140/epjds/s13688-019-0219-3,en,dct,Rule-based,senti,no validation attempt
93,10.1140/epjds/s13688-020-00245-8,ru,sml,Supervised,theme,discussion
94,10.1177/0003122417733673,en,dct,Rule-based,const,discussion & demonstration
95,10.1177/0003122419877135,en,nlp,Rule-based,const,discussion & demonstration
96,10.1177/0038040720953218,en,dct,Rule-based,forma,discussion & demonstration
97,10.1177/0049124117729696,en,lda,Unsupervised,theme,discussion & demonstration
98,10.1177/0049124117729701,en,sml,Supervised,theme,discussion & demonstration
99,10.1177/0049124119882481,en,sof,Rule-based,forma,discussion & demonstration
100,10.1177/0049124119882481,en,sof,Rule-based,thing,discussion & demonstration
101,10.1177/0049124119882481,en,sna,Unsupervised,forma,discussion & demonstration
102,10.1177/0049124119882481,en,sna,Unsupervised,thing,discussion & demonstration
103,10.3982/ECTA16566,en,key,Rule-based,theme,discussion & demonstration
104,10.3982/ECTA16566,en,lda,Unsupervised,theme,discussion & demonstration
105,10.1080/1369118X.2015.1086013,cn,man,Manual,quali,NA
106,10.1080/1369118X.2015.1088049,ar,man,Manual,const,NA
107,10.1080/1369118X.2015.1088049,ar,man,Manual,pragm,NA
108,10.1080/1369118X.2015.1088881,cz,man,Manual,thing,NA
109,10.1080/1369118X.2015.1088881,cz,man,Manual,senti,NA
110,10.1080/1369118X.2015.1094113,en,man,Manual,pragm,NA
111,10.1080/1369118X.2015.1104372,cn,man,Manual,thing,NA
112,10.1080/1369118X.2015.1104372,cn,man,Manual,const,NA
113,10.1080/1369118X.2015.1104372,cn,man,Manual,theme,NA
114,10.1080/1369118X.2015.1104372,cn,man,Manual,frame,NA
115,10.1080/1369118X.2016.1142595,en,man,Manual,const,NA
116,10.1080/1369118X.2016.1142595,en,man,Manual,props,NA
117,10.1080/1369118X.2016.1142595,en,man,Manual,pragm,NA
118,10.1080/1369118X.2016.1146319,en,man,Manual,const,NA
119,10.1080/1369118X.2016.1146319,en,man,Manual,attri,NA
120,10.1080/1369118X.2016.1187192,en,man,Manual,attri,NA
121,10.1080/1369118X.2016.1198411,hu,man,Manual,forma,NA
122,10.1080/1369118X.2016.1198411,hu,man,Manual,types,NA
123,10.1080/1369118X.2016.1198411,hu,man,Manual,senti,NA
124,10.1080/1369118X.2016.1198411,hu,man,Manual,quali,NA
125,10.1080/1369118X.2016.1203971,pt,man,Manual,thing,NA
126,10.1080/1369118X.2016.1203971,pt,man,Manual,attri,NA
127,10.1080/1369118X.2016.1203974,cn,man,Manual,quali,NA
128,10.1080/1369118X.2016.1203974,cn,man,Manual,other,NA
129,10.1080/1369118X.2016.1252413,en,man,Manual,pragm,NA
130,10.1080/1369118X.2016.1254269,de,man,Manual,forma,NA
131,10.1080/1369118X.2016.1254269,de,man,Manual,pragm,NA
132,10.1080/1369118X.2016.1257040,en,man,Manual,thing,NA
133,10.1080/1369118X.2016.1257040,en,man,Manual,const,NA
134,10.1080/1369118X.2016.1257040,en,man,Manual,attri,NA
135,10.1080/1369118X.2016.1257040,en,man,Manual,props,NA
136,10.1080/1369118X.2016.1257040,en,man,Manual,pragm,NA
137,10.1080/1369118X.2017.1284880,es,man,Manual,forma,NA
138,10.1080/1369118X.2017.1284880,es,man,Manual,const,NA
139,10.1080/1369118X.2017.1284880,es,man,Manual,theme,NA
140,10.1080/1369118X.2017.1284880,es,man,Manual,pragm,NA
141,10.1080/1369118X.2017.1285951,en,man,Manual,senti,NA
142,10.1080/1369118X.2017.1285951,en,man,Manual,frame,NA
143,10.1080/1369118X.2017.1301518,en,man,Manual,theme,NA
144,10.1080/1369118X.2017.1301518,en,man,Manual,senti,NA
145,10.1080/1369118X.2017.1301522,en,man,Manual,const,NA
146,10.1080/1369118X.2017.1301522,en,man,Manual,pragm,NA
147,10.1080/1369118X.2017.1314532,en,man,Manual,thing,NA
148,10.1080/1369118X.2017.1314532,en,man,Manual,const,NA
149,10.1080/1369118X.2017.1314532,en,man,Manual,theme,NA
150,10.1080/1369118X.2017.1314532,en,man,Manual,quali,NA
151,10.1080/1369118X.2017.1324504,he,man,Manual,const,NA
152,10.1080/1369118X.2017.1340499,en,man,Manual,thing,NA
153,10.1080/1369118X.2017.1340499,en,man,Manual,const,NA
154,10.1080/1369118X.2017.1340499,en,man,Manual,theme,NA
155,10.1080/1369118X.2017.1340499,en,man,Manual,attri,NA
156,10.1080/1369118X.2017.1340499,en,man,Manual,pragm,NA
157,10.1080/1369118X.2017.1366539,en,man,Manual,pragm,NA
158,10.1080/1369118X.2017.1402943,en,man,Manual,const,NA
159,10.1080/1369118X.2017.1402943,en,man,Manual,pragm,NA
160,10.1080/1369118X.2018.1439985,he,man,Manual,const,NA
161,10.1080/1369118X.2018.1439985,he,man,Manual,theme,NA
162,10.1080/1369118X.2018.1439985,he,man,Manual,quali,NA
163,10.1080/1369118X.2018.1445273,de,man,Manual,const,NA
164,10.1080/1369118X.2018.1445273,de,man,Manual,types,NA
165,10.1080/1369118X.2018.1445273,de,man,Manual,theme,NA
166,10.1080/1369118X.2018.1445273,de,man,Manual,senti,NA
167,10.1080/1369118X.2018.1445273,de,man,Manual,quali,NA
168,10.1080/1369118X.2018.1449882,de,man,Manual,thing,NA
169,10.1080/1369118X.2018.1449882,de,man,Manual,pragm,NA
170,10.1080/1369118X.2018.1450436,en,man,Manual,theme,NA
171,10.1080/1369118X.2018.1451550,es,man,Manual,const,NA
172,10.1080/1369118X.2018.1451550,es,man,Manual,theme,NA
173,10.1080/1369118X.2018.1451550,es,man,Manual,pragm,NA
174,10.1080/1369118X.2018.1476573,cn,man,Manual,thing,NA
175,10.1080/1369118X.2018.1476573,cn,man,Manual,const,NA
176,10.1080/1369118X.2018.1476573,cn,man,Manual,theme,NA
177,10.1080/1369118X.2018.1476573,cn,man,Manual,quali,NA
178,10.1080/1369118X.2019.1566393,en,man,Manual,frame,NA
179,10.1080/1369118X.2019.1621921,en,man,Manual,const,NA
180,10.1080/1369118X.2019.1621921,en,man,Manual,pragm,NA
181,10.1080/1369118X.2019.1629692,it,man,Manual,attri,NA
182,10.1080/1369118X.2020.1716040,cz,man,Manual,forma,NA
183,10.1080/1369118X.2020.1716040,cz,man,Manual,const,NA
184,10.1080/1369118X.2020.1716040,cz,man,Manual,quali,NA
185,10.1080/1369118X.2020.1716040,cz,man,Manual,pragm,NA
186,10.1080/1369118X.2020.1748089,en,man,Manual,pragm,NA
187,10.1080/1369118X.2020.1751867,en,man,Manual,thing,NA
188,10.1080/1369118X.2020.1751867,en,man,Manual,const,NA
189,10.1080/1369118X.2020.1751867,en,man,Manual,theme,NA
190,10.1080/1369118X.2020.1751867,en,man,Manual,attri,NA
191,10.1080/1369118X.2020.1751867,en,man,Manual,props,NA
192,10.1080/1369118X.2020.1751867,en,man,Manual,pragm,NA
193,10.1080/1369118X.2020.1757132,en,man,Manual,theme,NA
194,10.1080/1369118X.2020.1757132,en,man,Manual,pragm,NA
195,10.1080/1369118X.2020.1761858,en,man,Manual,theme,NA
196,10.1080/1369118X.2020.1764605,en,man,Manual,theme,NA
197,10.1080/1369118X.2020.1776367,de,man,Manual,thing,NA
198,10.1080/1369118X.2020.1776367,de,man,Manual,const,NA
199,10.1080/1369118X.2020.1776367,de,man,Manual,theme,NA
200,10.1080/1369118X.2020.1776367,de,man,Manual,attri,NA
201,10.1080/1369118X.2020.1776367,de,man,Manual,props,NA
202,10.1080/1369118X.2020.1787483,en,man,Manual,const,NA
203,10.1111/1468-4446.12191,en,man,Manual,theme,NA
204,10.1111/risa.12467,en,man,Manual,theme,NA
205,10.1111/risa.12510,en,man,Manual,frame,NA
206,10.1111/risa.12961,en,man,Manual,theme,NA
207,10.1111/risa.13140,en,man,Manual,theme,NA
208,10.1177/0891243218786686,un,man,Manual,frame,NA
209,10.1080/10584609.2020.1785067,he,man,Manual,theme,discussion & demonstration
210,10.1080/10584609.2020.1785067,he,man,Manual,senti,discussion & demonstration
211,10.1080/10584609.2020.1785067,he,man,Manual,quali,discussion & demonstration
212,10.1080/10584609.2020.1785067,he,hca,Supervised,theme,discussion & demonstration
213,10.1080/10584609.2020.1785067,he,hca,Supervised,senti,discussion & demonstration
214,10.1080/10584609.2020.1785067,he,hca,Supervised,quali,discussion & demonstration
215,10.1080/19312458.2020.1803247,he,hca,Supervised,const,discussion & demonstration
216,10.1080/19312458.2020.1803247,he,hca,Supervised,theme,discussion & demonstration
217,10.1080/19312458.2020.1803247,he,hca,Supervised,senti,discussion & demonstration
218,10.1080/19312458.2020.1803247,he,hca,Supervised,attri,discussion & demonstration
219,10.1080/19312458.2020.1803247,he,hca,Supervised,pragm,discussion & demonstration
220,10.1177/2056305120944393,he,man,Manual,theme,discussion & demonstration
221,10.1177/2056305120944393,he,man,Manual,senti,discussion & demonstration
222,10.1177/2056305120944393,he,man,Manual,quali,discussion & demonstration
223,10.1177/2056305120944393,he,man,Manual,attri,discussion & demonstration
224,10.1177/2056305120944393,he,hca,Supervised,theme,discussion & demonstration
225,10.1177/2056305120944393,he,hca,Supervised,senti,discussion & demonstration
226,10.1177/2056305120944393,he,hca,Supervised,quali,discussion & demonstration
227,10.1177/2056305120944393,he,hca,Supervised,attri,discussion & demonstration
228,10.1002/poi3.120,en,man,Manual,theme,discussion
229,10.1002/poi3.120,en,lnk,Rule-based,theme,discussion
230,10.1002/poi3.127,en,lnk,Rule-based,theme,no validation attempt
231,10.1002/poi3.194,en,nlp,Rule-based,theme,discussion & demonstration
232,10.1002/poi3.194,en,sna,Unsupervised,theme,discussion & demonstration
233,10.1002/poi3.194,en,sml,Supervised,theme,discussion & demonstration
234,10.1002/poi3.197,en,man,Manual,const,discussion
235,10.1002/poi3.197,en,man,Manual,theme,discussion
236,10.1002/poi3.197,en,man,Manual,pragm,discussion
237,10.1002/poi3.197,en,dct,Rule-based,const,discussion
238,10.1002/poi3.197,en,dct,Rule-based,theme,discussion
239,10.1002/poi3.197,en,dct,Rule-based,pragm,discussion
240,10.1002/poi3.202,en,sml,Supervised,types,discussion & demonstration
241,10.1002/poi3.202,en,sml,Supervised,theme,discussion & demonstration
242,10.1002/poi3.202,en,sml,Supervised,pragm,discussion & demonstration
243,10.1002/poi3.212,en,nlp,Rule-based,theme,no validation attempt
244,10.1002/poi3.212,en,nlp,Rule-based,quali,no validation attempt
245,10.1002/poi3.212,en,lda,Unsupervised,theme,no validation attempt
246,10.1002/poi3.212,en,lda,Unsupervised,quali,no validation attempt
247,10.1002/poi3.222,de,nlp,Rule-based,senti,discussion & demonstration
248,10.1002/poi3.223,en,man,Manual,const,discussion
249,10.1002/poi3.223,en,man,Manual,theme,discussion
250,10.1002/poi3.223,en,nlp,Rule-based,const,discussion
251,10.1002/poi3.223,en,nlp,Rule-based,theme,discussion
252,10.1002/poi3.223,en,dct,Rule-based,const,discussion
253,10.1002/poi3.223,en,dct,Rule-based,theme,discussion
254,10.1002/poi3.223,en,lda,Unsupervised,const,discussion
255,10.1002/poi3.223,en,lda,Unsupervised,theme,discussion
256,10.1002/poi3.245,en,sml,Supervised,theme,discussion & demonstration
257,10.1002/poi3.247,en,sna,Unsupervised,theme,no validation attempt
258,10.1002/poi3.247,en,sna,Unsupervised,pragm,no validation attempt
259,10.1007/s11109-016-9368-2,de,lda,Unsupervised,theme,discussion & demonstration
260,10.1007/s11109-017-9394-8,en,man,Manual,quali,discussion & demonstration
261,10.1007/s11109-017-9394-8,en,nlp,Rule-based,quali,discussion & demonstration
262,10.1007/s11109-017-9394-8,en,dct,Rule-based,quali,discussion & demonstration
263,10.1007/s11109-017-9418-4,en,lda,Unsupervised,theme,discussion & demonstration
264,10.1007/s11109-018-9457-5,en,lda,Unsupervised,theme,discussion
265,10.1007/s11109-018-9457-5,en,lda,Unsupervised,senti,discussion
266,10.1007/s11109-018-9478-0,en,dct,Rule-based,senti,discussion & demonstration
267,10.1007/s11109-019-09577-2,de,man,Manual,props,discussion
268,10.1007/s11109-019-09577-2,de,dct,Rule-based,props,discussion
269,10.1007/s11558-020-09378-x,en,plg,Unsupervised,relas,no validation attempt
270,10.1007/s11558-020-09391-0,en,lda,Unsupervised,theme,discussion & demonstration
271,10.1007/s11558-020-09391-0,en,lda,Unsupervised,relas,discussion & demonstration
272,10.1007/s11558-020-09391-0,en,plg,Unsupervised,theme,discussion & demonstration
273,10.1007/s11558-020-09391-0,en,plg,Unsupervised,relas,discussion & demonstration
274,10.1016/j.chb.2016.07.035,es,lnk,Rule-based,senti,no validation attempt
275,10.1016/j.chb.2016.07.035,es,lnk,Rule-based,attri,no validation attempt
276,10.1016/j.chb.2016.07.035,es,sof,Rule-based,senti,no validation attempt
277,10.1016/j.chb.2016.07.035,es,sof,Rule-based,attri,no validation attempt
278,10.1016/j.chb.2016.12.003,en,man,Manual,attri,discussion
279,10.1016/j.chb.2016.12.003,en,lnk,Rule-based,attri,discussion
280,10.1016/j.chb.2016.12.064,en,lnk,Rule-based,attri,no validation attempt
281,10.1016/j.chb.2016.12.064,en,sml,Supervised,attri,no validation attempt
282,10.1016/j.chb.2018.07.006,en,sof,Rule-based,senti,no validation attempt
283,10.1016/j.chb.2018.08.008,en,sof,Rule-based,types,discussion & demonstration
284,10.1016/j.chb.2018.08.034,en,man,Manual,attri,no validation attempt
285,10.1016/j.chb.2018.08.034,en,sof,Rule-based,attri,no validation attempt
286,10.1016/j.chb.2018.08.051,en,sof,Rule-based,attri,no validation attempt
287,10.1016/j.chb.2020.106353,en,lnk,Rule-based,attri,no validation attempt
288,10.1016/j.chb.2020.106353,en,sna,Unsupervised,attri,no validation attempt
289,10.1017/pan.2016.7,en,lda,Unsupervised,theme,discussion & demonstration
290,10.1017/pan.2017.39,en,sml,Supervised,quali,discussion & demonstration
291,10.1017/pan.2017.44,en,lda,Unsupervised,theme,discussion & demonstration
292,10.1017/pan.2017.44,en,lda,Unsupervised,quali,discussion & demonstration
293,10.1017/pan.2017.44,en,dcs,Unsupervised,theme,discussion & demonstration
294,10.1017/pan.2017.44,en,dcs,Unsupervised,quali,discussion & demonstration
295,10.1017/pan.2018.11,en,sml,Supervised,other,discussion & demonstration
296,10.1017/pan.2018.47,en,dct,Rule-based,other,discussion & demonstration
297,10.1017/pan.2018.7,en,dcs,Unsupervised,quali,discussion & demonstration
298,10.1017/pan.2019.18,sk,lda,Unsupervised,theme,discussion & demonstration
299,10.1017/pan.2019.18,sk,lda,Unsupervised,quali,discussion & demonstration
300,10.1017/pan.2019.2,en,sml,Supervised,quali,discussion & demonstration
301,10.1017/pan.2019.2,en,dcs,Unsupervised,quali,discussion & demonstration
302,10.1017/pan.2019.23,en,nlp,Rule-based,const,discussion & demonstration
303,10.1017/pan.2019.23,en,nlp,Rule-based,attri,discussion & demonstration
304,10.1017/pan.2019.26,en,nlp,Rule-based,quali,discussion & demonstration
305,10.1017/pan.2019.49,en,nlp,Rule-based,quali,discussion & demonstration
306,10.1017/pan.2020.1,en,plg,Unsupervised,senti,discussion & demonstration
307,10.1017/S0003055416000769,ar,lnk,Rule-based,other,no validation attempt
308,10.1017/S0003055417000144,cn,sml,Supervised,types,discussion & demonstration
309,10.1017/S0003055417000302,en,sof,Rule-based,senti,discussion & demonstration
310,10.1017/S0003055417000375,en,dcs,Unsupervised,quali,discussion & demonstration
311,10.1017/S0003055417000399,jp,dcs,Unsupervised,quali,discussion & demonstration
312,10.1017/S0003055417000570,en,lda,Unsupervised,theme,discussion & demonstration
313,10.1017/S0003055418000242,cn,key,Rule-based,types,no validation attempt
314,10.1017/S0003055418000242,cn,key,Rule-based,senti,no validation attempt
315,10.1017/S0003055418000643,en,man,Manual,types,discussion
316,10.1017/S0003055418000643,en,man,Manual,theme,discussion
317,10.1017/S0003055418000643,en,dct,Rule-based,types,discussion
318,10.1017/S0003055418000643,en,dct,Rule-based,theme,discussion
319,10.1017/S0003055418000643,en,sml,Supervised,types,discussion
320,10.1017/S0003055418000643,en,sml,Supervised,theme,discussion
321,10.1017/S0003055418000801,en,dcs,Unsupervised,theme,no validation attempt
322,10.1017/S0003055418000801,en,dcs,Unsupervised,attri,no validation attempt
323,10.1017/S0003055418000886,en,dct,Rule-based,theme,discussion & demonstration
324,10.1017/S0003055418000886,en,dct,Rule-based,senti,discussion & demonstration
325,10.1017/S0003055418000886,en,dct,Rule-based,attri,discussion & demonstration
326,10.1017/S0003055418000965,en,lda,Unsupervised,theme,discussion & demonstration
327,10.1017/S0003055418000965,en,lda,Unsupervised,quali,discussion & demonstration
328,10.1017/S0003055419000182,en,lda,Unsupervised,theme,discussion & demonstration
329,10.1017/S0003055419000522,en,sml,Supervised,const,discussion & demonstration
330,10.1017/S0003055419000650,ar,sml,Supervised,theme,discussion & demonstration
331,10.1017/S0003055419000650,ar,sml,Supervised,senti,discussion & demonstration
332,10.1017/S0003055419000856,pt,dct,Rule-based,theme,discussion
333,10.1017/S000305542000009X,en,dct,Rule-based,theme,no validation attempt
334,10.1017/S0003055420000258,en,nlp,Rule-based,types,discussion & demonstration
335,10.1017/S0003055420000258,en,nlp,Rule-based,theme,discussion & demonstration
336,10.1017/S0003055420000258,en,sml,Supervised,types,discussion & demonstration
337,10.1017/S0003055420000258,en,sml,Supervised,theme,discussion & demonstration
338,10.1017/S000305542000026X,es,sml,Supervised,other,discussion & demonstration
339,10.1017/S0007123414000192,en,dcs,Unsupervised,quali,discussion & demonstration
340,10.1017/S0007123414000428,es,lda,Unsupervised,theme,demonstration
341,10.1017/S0007123414000362,en,nlp,Rule-based,quali,no validation attempt
342,10.1017/S0007123417000400,de,man,Manual,thing,discussion
343,10.1017/S0007123417000400,de,man,Manual,theme,discussion
344,10.1017/S0007123417000400,de,man,Manual,other,discussion
345,10.1017/S0007123417000400,de,plg,Unsupervised,thing,discussion
346,10.1017/S0007123417000400,de,plg,Unsupervised,theme,discussion
347,10.1017/S0007123417000400,de,plg,Unsupervised,other,discussion
348,10.1017/S0007123418000145,en,key,Rule-based,forma,no validation attempt
349,10.1017/S0007123417000795,nl,dct,Rule-based,attri,discussion
350,10.1017/S0020818318000188,en,lda,Unsupervised,theme,no validation attempt
351,10.1017/S0020818318000383,he,dct,Rule-based,attri,no validation attempt
352,10.1080/00913367.2017.1297273,en,nlp,Rule-based,theme,discussion
353,10.1080/00913367.2017.1297273,en,lda,Unsupervised,theme,discussion
354,10.1080/00913367.2019.1567409,en,key,Rule-based,theme,discussion
355,10.1080/00913367.2019.1567409,en,key,Rule-based,relas,discussion
356,10.1080/01972243.2018.1463334,nl,key,Rule-based,thing,discussion & demonstration
357,10.1080/02650487.2019.1601910,kr,nlp,Rule-based,theme,no validation attempt
358,10.1080/02650487.2019.1601910,kr,nlp,Rule-based,senti,no validation attempt
359,10.1080/02650487.2019.1622345,en,key,Rule-based,const,no validation attempt
360,10.1080/02650487.2019.1622345,en,key,Rule-based,props,no validation attempt
361,10.1080/03637751.2016.1250932,en,nlp,Rule-based,thing,no validation attempt
362,10.1080/03637751.2016.1250932,en,nlp,Rule-based,const,no validation attempt
363,10.1080/03637751.2019.1641730,kr,man,Manual,forma,discussion
364,10.1080/03637751.2019.1641730,kr,man,Manual,thing,discussion
365,10.1080/03637751.2019.1641730,kr,lnk,Rule-based,forma,discussion
366,10.1080/03637751.2019.1641730,kr,lnk,Rule-based,thing,discussion
367,10.1080/09644016.2015.1105177,en,sml,Supervised,theme,discussion
368,10.1080/09644016.2015.1118790,en,key,Rule-based,forma,no validation attempt
369,10.1080/09644016.2016.1263433,en,dct,Rule-based,senti,no validation attempt
370,10.1080/09644016.2016.1274504,en,dct,Rule-based,theme,no validation attempt
371,10.1080/09644016.2016.1274504,en,dct,Rule-based,senti,no validation attempt
372,10.1080/09644016.2016.1274504,en,dct,Rule-based,frame,no validation attempt
373,10.1080/09644016.2018.1425106,en,dct,Rule-based,senti,discussion
374,10.1080/09644016.2018.1425106,en,dct,Rule-based,frame,discussion
375,10.1080/09644016.2018.1560743,en,sof,Rule-based,senti,discussion & demonstration
376,10.1080/09644016.2019.1565462,en,key,Rule-based,const,no validation attempt
377,10.1080/09644016.2019.1565468,en,dct,Rule-based,frame,no validation attempt
378,10.1080/09644016.2020.1778990,en,dct,Rule-based,theme,no validation attempt
379,10.1080/09644016.2020.1786333,en,lda,Unsupervised,theme,no validation attempt
380,10.1080/10584609.2014.969465,en,dct,Rule-based,const,discussion
381,10.1080/10584609.2014.969465,en,sof,Rule-based,const,discussion
382,10.1080/10584609.2016.1265619,de,man,Manual,relas,discussion
383,10.1080/10584609.2016.1265619,de,plg,Unsupervised,relas,discussion
384,10.1080/10584609.2016.1271374,nl,dct,Rule-based,theme,discussion & demonstration
385,10.1080/10584609.2017.1289288,en,key,Rule-based,theme,no validation attempt
386,10.1080/10584609.2017.1334728,de,lda,Unsupervised,theme,no validation attempt
