_id,doi,language,method,method2,measurement,validation
838,10.1177/2056305118786720,de,lnk,Rule-based,theme,discussion
839,10.1177/2056305118786720,de,lnk,Rule-based,other,discussion
840,10.1177/2056305118786720,de,lda,Unsupervised,theme,discussion
841,10.1177/2056305118786720,de,lda,Unsupervised,other,discussion
842,10.1177/2056305118789630,en,nlp,Rule-based,attri,no validation attempt
843,10.1177/2056305118789630,en,nlp,Rule-based,pragm,no validation attempt
844,10.1177/2056305118789630,en,key,Rule-based,attri,no validation attempt
845,10.1177/2056305118789630,en,key,Rule-based,pragm,no validation attempt
846,10.1177/2056305118790763,en,sna,Unsupervised,theme,no validation attempt
847,10.1177/2056305119832588,en,key,Rule-based,const,no validation attempt
848,10.1177/2056305119832588,en,sof,Rule-based,const,no validation attempt
849,10.1177/2056305119841387,en,key,Rule-based,forma,no validation attempt
850,10.1177/2056305119841387,en,key,Rule-based,const,no validation attempt
851,10.1177/2056305119841387,en,key,Rule-based,theme,no validation attempt
852,10.1177/2056305119841387,en,key,Rule-based,pragm,no validation attempt
853,10.1177/2056305119841387,en,lda,Unsupervised,forma,no validation attempt
854,10.1177/2056305119841387,en,lda,Unsupervised,const,no validation attempt
855,10.1177/2056305119841387,en,lda,Unsupervised,theme,no validation attempt
856,10.1177/2056305119841387,en,lda,Unsupervised,pragm,no validation attempt
857,10.1177/2056305119861807,en,nlp,Rule-based,theme,discussion
858,10.1177/2056305119861807,en,key,Rule-based,theme,discussion
859,10.1177/2056305119866008,en,sna,Unsupervised,theme,discussion
860,10.1177/2056305119866008,en,lda,Unsupervised,theme,discussion
861,10.1177/2056305119881695,en,lda,Unsupervised,theme,discussion & demonstration
862,10.1177/2056305119881695,en,lda,Unsupervised,pragm,discussion & demonstration
863,10.1177/2056305119883427,en,man,Manual,theme,discussion
864,10.1177/2056305119883427,en,lda,Unsupervised,theme,discussion
865,10.1177/2056305119897320,en,nlp,Rule-based,thing,no validation attempt
866,10.1177/2056305120912475,en,man,Manual,thing,discussion & demonstration
867,10.1177/2056305120912475,en,man,Manual,senti,discussion & demonstration
868,10.1177/2056305120912475,en,man,Manual,quali,discussion & demonstration
869,10.1177/2056305120912475,en,lda,Unsupervised,thing,discussion & demonstration
870,10.1177/2056305120912475,en,lda,Unsupervised,senti,discussion & demonstration
871,10.1177/2056305120912475,en,lda,Unsupervised,quali,discussion & demonstration
872,10.1177/2056305120912475,en,sml,Supervised,thing,discussion & demonstration
873,10.1177/2056305120912475,en,sml,Supervised,senti,discussion & demonstration
874,10.1177/2056305120912475,en,sml,Supervised,quali,discussion & demonstration
875,10.1177/2056305120913990,en,sof,Rule-based,const,no validation attempt
876,10.1177/2056305120916841,en,nlp,Rule-based,thing,no validation attempt
877,10.1177/2056305120916841,en,nlp,Rule-based,const,no validation attempt
878,10.1177/2056305120916841,en,nlp,Rule-based,senti,no validation attempt
879,10.1177/2056305120916841,en,key,Rule-based,thing,no validation attempt
880,10.1177/2056305120916841,en,key,Rule-based,const,no validation attempt
881,10.1177/2056305120916841,en,key,Rule-based,senti,no validation attempt
882,10.1177/2056305120916850,en,sml,Supervised,attri,discussion & demonstration
883,10.3758/s13428-015-0639-3,es,sof,Rule-based,senti,no validation attempt
884,10.3758/s13428-015-0649-1,cn,sof,Rule-based,forma,discussion
885,10.3758/s13428-015-0651-7,en,nlp,Rule-based,other,discussion & demonstration
886,10.3758/s13428-015-0651-7,en,sof,Rule-based,other,discussion & demonstration
887,10.3758/s13428-015-0700-2,es,man,Manual,senti,NA
888,10.3758/s13428-016-0743-z,en,sof,Rule-based,senti,discussion & demonstration
889,10.3758/s13428-016-0749-6,en,sof,Rule-based,other,discussion & demonstration
890,10.3758/s13428-016-0753-x,jp,sml,Supervised,forma,discussion & demonstration
891,10.3758/s13428-016-0753-x,jp,sml,Supervised,quali,discussion & demonstration
892,10.3758/s13428-017-0875-9,en,dct,Rule-based,senti,discussion & demonstration
893,10.3758/s13428-017-0924-4,en,nlp,Rule-based,other,discussion & demonstration
894,10.3758/s13428-017-0924-4,en,sof,Rule-based,other,discussion & demonstration
895,10.3758/s13428-017-0926-2,en,nlp,Rule-based,other,discussion & demonstration
896,10.3758/s13428-017-0931-5,en,nlp,Rule-based,theme,discussion & demonstration
897,10.3758/s13428-017-0931-5,en,sna,Unsupervised,theme,discussion & demonstration
898,10.3758/s13428-017-0962-y,es,man,Manual,quali,NA
899,10.3758/s13428-017-0975-6,en,sof,Rule-based,senti,discussion & demonstration
900,10.3758/s13428-017-0993-4,cn,nlp,Rule-based,other,no validation attempt
901,10.3758/s13428-017-0993-4,cn,sof,Rule-based,other,no validation attempt
902,10.3758/s13428-017-0994-3,ru,nlp,Rule-based,other,discussion & demonstration
903,10.3758/s13428-017-0994-3,ru,sof,Rule-based,other,discussion & demonstration
904,10.3758/s13428-017-0999-y,no,sof,Rule-based,senti,no validation attempt
905,10.3758/s13428-018-1142-4,en,nlp,Rule-based,other,discussion & demonstration
906,10.3758/s13428-018-1142-4,en,sof,Rule-based,other,discussion & demonstration
907,10.3758/s13428-018-1177-6,en,lnk,Rule-based,senti,discussion & demonstration
908,10.3758/s13428-019-01202-8,en,lda,Unsupervised,theme,discussion
909,10.3758/s13428-019-01223-3,en,sof,Rule-based,other,discussion & demonstration
910,10.3758/s13428-020-01433-0,en,dct,Rule-based,quali,discussion & demonstration
911,10.3758/s13428-020-01450-z,fr,dct,Rule-based,quali,discussion & demonstration
912,10.3758/s13428-020-01453-w,en,sof,Rule-based,relas,discussion & demonstration
913,10.1002/poi3.128,en,man,Manual,theme,NA
914,10.1002/poi3.155,cn,man,Manual,theme,NA
915,10.1002/poi3.167,is,man,Manual,theme,NA
916,10.1002/poi3.175,en,man,Manual,quali,NA
917,10.1002/poi3.175,en,man,Manual,pragm,NA
918,10.1002/poi3.191,cn,man,Manual,thing,NA
919,10.1002/poi3.191,cn,man,Manual,senti,NA
920,10.1002/poi3.191,cn,man,Manual,attri,NA
921,10.1002/poi3.196,pt,man,Manual,pragm,NA
922,10.1002/poi3.224,en,man,Manual,theme,NA
923,10.1002/poi3.232,de,man,Manual,const,NA
924,10.1002/poi3.232,de,man,Manual,quali,NA
925,10.1002/poi3.232,de,man,Manual,pragm,NA
926,10.1007/s11109-016-9346-8,en,man,Manual,senti,NA
927,10.1007/s11109-020-09642-1,en,man,Manual,quali,NA
928,10.1007/s11558-020-09404-y,en,man,Manual,attri,NA
929,10.1016/j.chb.2015.07.050,en,man,Manual,attri,NA
930,10.1016/j.chb.2015.08.023,en,man,Manual,attri,NA
931,10.1016/j.chb.2017.03.024,en,man,Manual,quali,NA
932,10.1016/j.chb.2017.04.007,en,man,Manual,quali,NA
933,10.1016/j.chb.2019.03.024,en,man,Manual,attri,NA
934,10.1016/j.chb.2019.03.030,en,man,Manual,attri,NA
935,10.1016/j.chb.2019.106183,en,man,Manual,attri,NA
936,10.1017/S0007123415000022,dk,man,Manual,thing,NA
937,10.1017/S0007123415000022,dk,man,Manual,theme,NA
938,10.1017/S0007123416000636,en,man,Manual,theme,NA
939,10.1017/S0020818316000138,en,man,Manual,frame,NA
